,state,date,knn,mdp,rmdp,bilstm,agg,deaths
107,Ohio,2020-09-20,4535.0,4483.0,4606.464558413491,4372.0,4606.464558412948,4615
108,Ohio,2020-09-23,4622.0,4530.0,4677.16660911181,4397.0,4677.166609111176,4687
109,Ohio,2020-09-13,4413.0,4376.0,4445.957788564973,4311.0,4445.957788564637,4415
110,Ohio,2020-09-12,4389.0,4361.0,4423.255965822467,4276.0,4423.25596582216,4411
111,Ohio,2020-09-14,4441.0,4391.0,4468.475391703873,4320.0,4468.475391703508,4419
112,Ohio,2020-09-18,4517.0,4452.0,4560.012610331638,4337.0,4560.012610331154,4608
113,Ohio,2020-09-25,4686.0,4562.0,4725.363784391774,4427.0,4725.3637843910765,4734
114,Ohio,2020-09-17,4489.0,4437.0,4536.908594598074,4330.0,4536.90859459762,4580
115,Ohio,2020-09-10,4363.0,4331.0,4378.321956337244,4266.0,4378.321956336995,4354
116,Ohio,2020-09-08,4307.0,4301.0,4334.823716408764,4232.0,4334.82371640857,4298
117,Ohio,2020-09-09,4334.0,4316.0,4356.504381236998,4244.0,4356.504381236777,4324
118,Ohio,2020-09-26,4711.0,4578.0,4749.474856306746,4452.0,4749.4748563060175,4740
119,Ohio,2020-09-01,4179.0,4165.0,4184.975879256044,4162.0,4184.975879256044,4166
120,Ohio,2020-09-11,4386.0,4346.0,4400.711209679652,4269.0,4400.7112096793735,4403
121,Ohio,2020-09-05,4250.0,4256.0,4270.090651950331,4198.0,4270.090651950221,4256
122,Ohio,2020-09-19,4532.0,4468.0,4583.267859518773,4350.0,4583.267859518259,4612
123,Ohio,2020-09-15,4450.0,4406.0,4491.140567631964,4321.0,4491.140567631569,4506
124,Ohio,2020-09-03,4208.0,4206.0,4227.324899970234,4174.0,4227.324899970179,4226
125,Ohio,2020-09-21,4577.0,4499.0,4629.809851776475,4378.0,4629.809851775901,4623
126,Ohio,2020-09-07,4291.0,4286.0,4313.278901761632,4232.0,4313.278901761467,4276
127,Ohio,2020-09-02,4201.0,4181.0,4206.084105600556,4163.0,4206.084105600528,4176
128,Ohio,2020-09-16,4453.0,4422.0,4513.95456587523,4323.0,4513.954565874806,4555
129,Ohio,2020-09-24,4650.0,4546.0,4701.185789124446,4412.0,4701.1857891237805,4715
130,Washington,2020-09-06,1961.0,1971.0,1965.1043796606211,1936.0,1965.1043796605595,1948
131,Washington,2020-09-22,2098.0,2084.0,2100.942367169889,2018.0,2100.9423671696227,2051
132,Washington,2020-09-04,1945.0,1953.0,1948.6693121542942,1928.0,1948.6693121542573,1932
133,Washington,2020-09-20,2081.0,2070.0,2083.4467882139593,2007.0,2083.446788213719,2034
134,Washington,2020-09-23,2107.0,2091.0,2109.8518477387706,2028.0,2109.8518477384905,2057
135,Washington,2020-09-13,2020.0,2020.0,2023.4335330670956,1965.0,2023.433533066946,1983
136,Washington,2020-09-12,2011.0,2013.0,2014.9826474115291,1964.0,2014.9826474113922,1978
137,Washington,2020-09-14,2028.0,2027.0,2031.8750691127702,1973.0,2031.875069112608,1990
138,Washington,2020-09-18,2063.0,2055.0,2066.0972771850197,2005.0,2066.097277184806,2021
139,Washington,2020-09-25,2125.0,2106.0,2127.8147654153627,2047.0,2127.8147654150557,2070
140,Washington,2020-09-17,2054.0,2048.0,2057.4721724768124,1997.0,2057.4721724766114,2013
141,Washington,2020-09-10,1995.0,1999.0,1998.214852710477,1951.0,1998.2148527103657,1965
142,Washington,2020-09-08,1978.0,1985.0,1981.6193253012025,1940.0,1981.619325301116,1954
143,Washington,2020-09-09,1986.0,1992.0,1989.8951248464612,1948.0,1989.8951248463623,1958
144,Washington,2020-09-26,2134.0,2113.0,2136.8460039769498,2051.0,2136.846003976629,2074
145,Washington,2020-09-01,1920.0,1923.0,1924.3226389758925,1922.0,1924.3226389758925,1918
146,Washington,2020-09-11,2003.0,2006.0,2006.5765126875917,1963.0,2006.5765126874676,1972
147,Washington,2020-09-05,1953.0,1965.0,1956.865178337407,1929.0,1956.865178337358,1942
148,Washington,2020-09-19,2072.0,2062.0,2074.7680217176635,2007.0,2074.7680217174366,2026
149,Washington,2020-09-15,2037.0,2034.0,2040.3612755332326,1986.0,2040.3612755330576,1999
150,Washington,2020-09-03,1936.0,1941.0,1940.510429345188,1924.0,1940.5104293451636,1930
151,Washington,2020-09-21,2089.0,2077.0,2092.1714752951325,2010.0,2092.171475294879,2040
152,Washington,2020-09-07,1969.0,1978.0,1973.3871816227086,1938.0,1973.3871816226344,1952
153,Washington,2020-09-02,1928.0,1930.0,1932.3949622829352,1924.0,1932.394962282923,1924
154,Washington,2020-09-16,2046.0,2041.0,2048.8924290783607,1987.0,2048.892429078173,2007
155,Washington,2020-09-24,2116.0,2098.0,2118.809213947343,2032.0,2118.8092139470496,2063
156,Pennsylvania,2020-09-06,7777.0,7750.0,7779.410629420079,7759.0,7779.410629419966,7750
157,Pennsylvania,2020-09-22,7978.0,7979.0,8045.394341799056,8015.0,8045.394341798571,8002
158,Pennsylvania,2020-09-04,7731.0,7722.0,7746.882505964993,7729.0,7746.882505964924,7735
159,Pennsylvania,2020-09-20,7945.0,7935.0,8011.577958201241,7968.0,8011.577958200804,7960
160,Pennsylvania,2020-09-23,7984.0,8002.0,8062.364424115643,8024.0,8062.364424115134,8038
161,Pennsylvania,2020-09-13,7852.0,7842.0,7894.508033966568,7887.0,7894.5080339662945,7829
162,Pennsylvania,2020-09-12,7829.0,7835.0,7877.945695641653,7883.0,7877.945695641402,7829
163,Pennsylvania,2020-09-14,7875.0,7848.0,7911.11062623948,7912.0,7911.110626239182,7855
164,Pennsylvania,2020-09-18,7925.0,7921.0,7977.925832817981,7953.0,7977.925832817591,7921
165,Pennsylvania,2020-09-25,8032.0,8015.0,8096.428960682751,8063.0,8096.428960682195,8065
166,Pennsylvania,2020-09-17,7901.0,7915.0,7961.161074770147,7933.0,7961.16107476978,7893
167,Pennsylvania,2020-09-10,7826.0,7807.0,7844.941324351095,7825.0,7844.941324350891,7807
168,Pennsylvania,2020-09-08,7780.0,7763.0,7812.096603262816,7809.0,7812.096603262657,7780
169,Pennsylvania,2020-09-09,7803.0,7785.0,7828.499064109985,7823.0,7828.499064109803,7794
170,Pennsylvania,2020-09-26,8032.0,8022.0,8113.523652508872,8077.0,8113.523652508292,8083
171,Pennsylvania,2020-09-01,7692.0,7672.0,7698.384343258954,7680.0,7698.384343258954,7678
172,Pennsylvania,2020-09-11,7827.0,7829.0,7861.42349704671,7854.0,7861.423497046482,7829
173,Pennsylvania,2020-09-05,7754.0,7743.0,7763.126892210803,7738.0,7763.126892210713,7750
174,Pennsylvania,2020-09-19,7930.0,7928.0,7994.731421769836,7966.0,7994.731421769422,7940
175,Pennsylvania,2020-09-15,7880.0,7870.0,7927.75358706736,7916.0,7927.75358706704,7860
176,Pennsylvania,2020-09-03,7725.0,7700.0,7730.677359520314,7726.0,7730.6773595202685,7724
177,Pennsylvania,2020-09-21,7966.0,7957.0,8028.465559086248,8005.0,8028.4655590857865,7985
178,Pennsylvania,2020-09-07,7778.0,7756.0,7795.733829131738,7803.0,7795.733829131602,7771
179,Pennsylvania,2020-09-02,7716.0,7678.0,7714.511342089526,7687.0,7714.511342089503,7705
180,Pennsylvania,2020-09-16,7882.0,7893.0,7944.437031447711,7930.0,7944.437031447367,7882
181,Pennsylvania,2020-09-24,8003.0,8009.0,8079.375924215392,8053.0,8079.37592421486,8054
182,New York,2020-09-06,33058.0,33338.0,33050.5880635553,33657.0,33050.588063554904,32987
183,New York,2020-09-22,33343.0,34393.0,33406.30838973033,34551.0,33406.308389728656,33263
184,New York,2020-09-04,33019.0,33282.0,33006.6171565577,33467.0,33006.61715655747,32982
185,New York,2020-09-20,33306.0,34200.0,33361.45492976311,34404.0,33361.454929761596,33087
186,New York,2020-09-23,33361.0,34422.0,33428.77720744827,34620.0,33428.77720744652,33264
187,New York,2020-09-13,33176.0,33733.0,33205.34581426959,34008.0,33205.34581426864,33023
188,New York,2020-09-12,33158.0,33705.0,33183.15526579583,33989.0,33183.15526579496,33023
189,New York,2020-09-14,33194.0,33828.0,33227.56394107876,34086.0,33227.56394107774,33030
190,New York,2020-09-18,33269.0,34076.0,33316.713331311716,34368.0,33316.71333131037,33085
191,New York,2020-09-25,33398.0,34480.0,33473.79929888823,34794.0,33473.79929888632,33283
192,New York,2020-09-17,33251.0,34047.0,33294.384341002195,34359.0,33294.38434100093,33070
193,New York,2020-09-10,33122.0,33648.0,33138.85668500259,33973.0,33138.856685001876,33019
194,New York,2020-09-08,33087.0,33460.0,33094.66776233328,33839.0,33094.66776233273,33016
195,New York,2020-09-09,33103.0,33554.0,33116.74854359184,33921.0,33116.74854359121,33019
196,New York,2020-09-26,33416.0,34577.0,33496.3526852389,34900.0,33496.3526852369,33286
197,New York,2020-09-01,32970.0,33003.0,32940.86384059735,33194.0,32940.86384059735,32966
198,New York,2020-09-11,33140.0,33677.0,33160.99224091099,33979.0,33160.9922409102,33019
199,New York,2020-09-05,33042.0,33310.0,33028.58903800832,33486.0,33028.58903800801,32987
200,New York,2020-09-19,33288.0,34105.0,33339.07017571255,34394.0,33339.070175711124,33081
201,New York,2020-09-15,33214.0,33923.0,33249.80970110428,34116.0,33249.80970110317,33038
202,New York,2020-09-03,33001.0,33189.0,32984.672365519225,33424.0,32984.672365519065,32976
203,New York,2020-09-21,33325.0,34297.0,33383.867649158376,34455.0,33383.86764915678,33159
204,New York,2020-09-07,33072.0,33366.0,33072.614287014396,33813.0,33072.61428701392,33002
205,New York,2020-09-02,32986.0,33095.0,32962.75461133984,33271.0,32962.75461133976,32972
206,New York,2020-09-16,33233.0,34019.0,33272.08314936182,34261.0,33272.08314936063,33042
207,New York,2020-09-24,33379.0,34451.0,33451.274158419204,34679.0,33451.27415841737,33269
208,Idaho,2020-09-06,386.0,403.0,386.42699715250444,367.0,386.4269971524705,385
209,Idaho,2020-09-22,412.0,501.0,471.6971619773042,381.0,471.69716197714354,451
210,Idaho,2020-09-04,376.0,391.0,376.9585849485497,364.0,376.95858494852985,382
211,Idaho,2020-09-20,407.0,489.0,459.7939604653541,380.0,459.7939604652111,443
212,Idaho,2020-09-23,412.0,509.0,477.83273759196504,381.0,477.83273759179525,454
213,Idaho,2020-09-13,399.0,445.0,421.1632990057732,373.0,421.16329900568763,415
214,Idaho,2020-09-12,394.0,438.0,416.02800265754985,372.0,416.0280026574719,415
215,Idaho,2020-09-14,399.0,450.0,426.38528611666,375.0,426.3852861165667,419
216,Idaho,2020-09-18,407.0,476.0,448.34900943558006,377.0,448.3490094354541,438
217,Idaho,2020-09-25,416.0,525.0,490.2847325366767,383.0,490.2847325364884,458
218,Idaho,2020-09-17,403.0,469.0,442.7026080872776,376.0,442.70260808716006,434
219,Idaho,2020-09-10,394.0,425.0,405.8534922171704,370.0,405.8534922171076,407
220,Idaho,2020-09-08,388.0,414.0,395.99013473713387,368.0,395.9901347370857,389
221,Idaho,2020-09-09,390.0,420.0,400.8907661174846,369.0,400.89076611742917,407
222,Idaho,2020-09-26,419.0,531.0,496.603363393633,384.0,496.6033633934353,460
223,Idaho,2020-09-01,369.0,377.0,363.60541102220486,361.0,363.60541102220486,367
224,Idaho,2020-09-11,394.0,431.0,410.8986858635989,370.0,410.8986858635286,412
225,Idaho,2020-09-05,384.0,397.0,381.654121382798,365.0,381.65412138277117,384
226,Idaho,2020-09-19,407.0,483.0,454.0220020908246,379.0,454.02200209069025,441
227,Idaho,2020-09-15,401.0,456.0,431.6957875543185,375.0,431.6957875542173,423
228,Idaho,2020-09-03,373.0,386.0,372.3388843010996,363.0,372.33888430108664,372
229,Idaho,2020-09-21,412.0,495.0,465.66702060694814,380.0,465.6670206067964,447
230,Idaho,2020-09-07,388.0,409.0,391.1694109602693,367.0,391.16941096022833,385
231,Idaho,2020-09-02,372.0,381.0,367.9402362533544,363.0,367.94023625334796,372
232,Idaho,2020-09-16,403.0,462.0,437.1521892049914,376.0,437.15218920488206,429
233,Idaho,2020-09-24,416.0,517.0,484.07595593728905,382.0,484.07595593711,457
234,Iowa,2020-09-06,1158.0,1153.0,1155.9644606989712,1149.0,1157.999999999968,1167
235,Iowa,2020-09-22,1348.0,1219.0,1270.5943453663087,1196.0,1347.9999999997417,1293
236,Iowa,2020-09-04,1149.0,1140.0,1142.5375691579827,1136.0,1148.9999999999786,1158
237,Iowa,2020-09-20,1327.0,1211.0,1255.6318196933064,1191.0,1326.9999999997667,1265
238,Iowa,2020-09-23,1359.0,1223.0,1278.1749309147165,1201.0,1358.9999999997285,1298
239,Iowa,2020-09-13,1235.0,1182.0,1204.470406429894,1167.0,1234.999999999876,1220
240,Iowa,2020-09-12,1219.0,1178.0,1197.283963496411,1166.0,1218.9999999998952,1218
241,Iowa,2020-09-14,1249.0,1186.0,1211.7199283863717,1171.0,1248.9999999998595,1224
242,Iowa,2020-09-18,1300.0,1202.0,1240.6236943602746,1185.0,1299.9999999997988,1264
243,Iowa,2020-09-25,1379.0,1232.0,1293.9711897519219,1205.0,1378.9999999997046,1312
244,Iowa,2020-09-17,1286.0,1198.0,1233.2173580450078,1184.0,1285.9999999998154,1250
245,Iowa,2020-09-10,1196.0,1170.0,1183.2675029051363,1162.0,1195.9999999999227,1207
246,Iowa,2020-09-08,1171.0,1161.0,1169.6545376192914,1156.0,1170.9999999999525,1185
247,Iowa,2020-09-09,1185.0,1166.0,1176.4326564362375,1159.0,1184.9999999999357,1204
248,Iowa,2020-09-26,1390.0,1236.0,1301.9777570356134,1208.0,1389.9999999996917,1314
249,Iowa,2020-09-01,1131.0,1125.0,1122.5208542602547,1125.0,1131.0,1125
250,Iowa,2020-09-11,1207.0,1174.0,1190.1597962805806,1164.0,1206.9999999999095,1216
251,Iowa,2020-09-05,1152.0,1147.0,1149.2058191303774,1141.0,1151.999999999975,1164
252,Iowa,2020-09-19,1315.0,1207.0,1248.0948961516779,1186.0,1314.9999999997808,1265
253,Iowa,2020-09-15,1262.0,1190.0,1218.8243440601545,1178.0,1261.999999999844,1234
254,Iowa,2020-09-03,1140.0,1133.0,1135.9233415033284,1131.0,1139.9999999999893,1136
255,Iowa,2020-09-21,1337.0,1215.0,1263.0802746426054,1195.0,1336.9999999997547,1284
256,Iowa,2020-09-07,1163.0,1157.0,1162.7804617022514,1152.0,1162.9999999999618,1170
257,Iowa,2020-09-02,1135.0,1129.0,1129.3625286377387,1129.0,1134.9999999999952,1133
258,Iowa,2020-09-16,1273.0,1194.0,1225.9898849239373,1180.0,1272.9999999998308,1248
259,Iowa,2020-09-24,1369.0,1228.0,1286.037243556321,1204.0,1368.9999999997167,1303
260,Vermont,2020-09-06,58.0,59.0,58.48657565977511,59.0,58.14140536542412,58
261,Vermont,2020-09-22,58.0,61.0,59.62819607513699,61.0,58.14140536542412,58
262,Vermont,2020-09-04,58.0,59.0,58.348161070535085,59.0,58.14140536542412,58
263,Vermont,2020-09-20,58.0,61.0,59.48428744309017,61.0,58.14140536542412,58
264,Vermont,2020-09-23,58.0,61.0,59.70049919991497,61.0,58.14140536542412,58
265,Vermont,2020-09-13,58.0,60.0,58.979426081430724,60.0,58.14140536542412,58
266,Vermont,2020-09-12,58.0,60.0,58.907416385632494,59.0,58.14140536542412,58
267,Vermont,2020-09-14,58.0,60.0,59.051702222360625,60.0,58.14140536542412,58
268,Vermont,2020-09-18,58.0,60.0,59.336903101853565,60.0,58.14140536542412,58
269,Vermont,2020-09-25,58.0,61.0,59.850531234034285,61.0,58.14140536542412,58
270,Vermont,2020-09-17,58.0,60.0,59.263625166458645,60.0,58.14140536542412,58
271,Vermont,2020-09-10,58.0,59.0,58.76619158454505,59.0,58.14140536542412,58
272,Vermont,2020-09-08,58.0,59.0,58.627882166979724,59.0,58.14140536542412,58
273,Vermont,2020-09-09,58.0,59.0,58.696928976332664,59.0,58.14140536542412,58
274,Vermont,2020-09-26,58.0,61.0,59.925979999593125,61.0,58.14140536542412,58
275,Vermont,2020-09-01,58.0,59.0,58.14140536542412,58.0,58.14140536542412,58
276,Vermont,2020-09-11,58.0,60.0,58.83567117446959,59.0,58.14140536542412,58
277,Vermont,2020-09-05,58.0,59.0,58.41630442843572,59.0,58.14140536542412,58
278,Vermont,2020-09-19,58.0,60.0,59.41045650453934,61.0,58.14140536542412,58
279,Vermont,2020-09-15,58.0,60.0,59.12211924235335,60.0,58.14140536542412,58
280,Vermont,2020-09-03,58.0,59.0,58.28022724826777,58.0,58.14140536542412,58
281,Vermont,2020-09-21,58.0,61.0,59.55612592190165,61.0,58.14140536542412,58
282,Vermont,2020-09-07,58.0,59.0,58.55710095308771,59.0,58.14140536542412,58
283,Vermont,2020-09-02,58.0,59.0,58.212501831535945,58.0,58.14140536542412,58
284,Vermont,2020-09-16,58.0,60.0,59.192759810895886,60.0,58.14140536542412,58
285,Vermont,2020-09-24,58.0,61.0,59.77537169521928,61.0,58.14140536542412,58
286,New Jersey,2020-09-06,15979.0,16121.0,16135.622355074755,16181.0,15984.88235294114,15989
287,New Jersey,2020-09-22,15974.0,16566.0,16387.236698199504,17175.0,15998.705882352911,16076
288,New Jersey,2020-09-04,15969.0,16031.0,16105.379112189838,16071.0,15972.529411764683,15978
289,New Jersey,2020-09-20,16013.0,16506.0,16354.032766978004,16995.0,16035.352941176385,16067
290,New Jersey,2020-09-23,15976.0,16613.0,16403.965750015483,17177.0,16001.882352941144,16082
291,New Jersey,2020-09-13,15978.0,16312.0,16243.171093016,16520.0,15992.117647058789,16031
292,New Jersey,2020-09-12,15970.0,16299.0,16227.907434284727,16453.0,15982.941176470564,16027
293,New Jersey,2020-09-14,15982.0,16326.0,16258.49635395858,16603.0,15997.294117647018,16034
