state,date,cases,Population,deaths,EmergDec_x,EmergDec_y,SchoolClose,GathRestrict25,GathRestrictAny,OtherBusinessClose,RestaurantRestrict,GathRestrict10,CaseIsolation,StayAtHome,PublicMask,Quarantine,NEBusinessClose,TravelRestrictIntra,GathRestrict50,BusinessHealthSafety,GathRestrict250,GathRecomAny,GathRestrict1000,TravelRestrictExit,TravelRestrictEntry,GathRestrict100,GathRestrict5,GathRestrict500,sub_region_1,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,mobility_score
Arizona,2020-03-19,45,7278717,0,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Arizona,-22.0,7.0,-8.0,-23.0,-33.0,13.0,7712.0
Minnesota,2020-02-13,0,5639632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7973.0
New York,2020-04-08,151061,26161672,9834,64,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,New York,-62.0,-12.0,-23.0,-70.0,-63.0,27.0,3398.0
Maine,2020-02-09,0,1344212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9023.0
Connecticut,2020-03-06,0,3565287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Connecticut,2.0,1.0,1.0,2.0,2.0,1.0,5597.0
Montana,2020-05-01,453,1068778,16,58,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Montana,-23.0,13.0,72.0,-16.0,-33.0,11.0,4868.0
South Carolina,2020-03-11,10,5148714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,South Carolina,10.0,7.0,43.0,10.0,1.0,-1.0,7800.0
Iowa,2020-05-05,10111,3155070,207,101,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Iowa,-27.0,14.0,13.0,-18.0,-39.0,17.0,5369.0
Oregon,2020-02-24,0,4217737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oregon,5.0,1.0,28.0,3.0,4.0,-1.0,5952.0
Indiana,2020-04-13,8359,6732219,350,94,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Indiana,-39.0,-17.0,-10.0,-31.0,-47.0,19.0,5665.0
North Dakota,2020-04-09,269,762062,5,55,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,North Dakota,-40.0,-8.0,-4.0,-34.0,-38.0,19.0,4663.0
Alabama,2020-03-31,987,4903185,23,69,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Alabama,-36.0,-11.0,-23.0,-26.0,-40.0,17.0,7674.0
Northern Mariana Islands,2020-01-30,0,55144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3141.0
Delaware,2020-04-07,928,973764,16,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Delaware,-39.0,-21.0,15.0,-49.0,-49.0,20.0,5523.0
Northern Mariana Islands,2020-03-05,0,55144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3108.0
New Jersey,2020-03-08,5,8882190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Jersey,8.0,6.0,116.0,2.0,2.0,0.0,5105.0
Montana,2020-02-18,0,1068778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Montana,-2.0,-1.0,-2.0,1.0,2.0,0.0,5976.0
Ohio,2020-02-15,0,11689100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio,5.0,0.0,15.0,1.0,0.0,0.0,7703.0
Rhode Island,2020-04-04,806,1059361,17,7,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Rhode Island,-50.0,-16.0,22.0,-58.0,-38.0,15.0,3487.0
Missouri,2020-04-21,6066,6626371,224,118,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Missouri,-28.0,-5.0,82.0,-28.0,-46.0,16.0,6151.0
New York,2020-04-05,123160,26161672,6785,64,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,New York,-59.0,-28.0,-11.0,-68.0,-47.0,15.0,2777.0
Mississippi,2020-05-05,8207,2976149,342,84,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Mississippi,-5.0,11.0,15.0,-10.0,-33.0,11.0,8237.0
Minnesota,2020-02-02,0,5639632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7423.0
District of Columbia,2020-03-22,102,705749,2,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,District of Columbia,-60.0,-24.0,-25.0,-64.0,-42.0,12.0,5205.0
American Samoa,2020-03-24,0,55641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3884.0
Rhode Island,2020-04-17,4177,1059361,118,7,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Rhode Island,-39.0,-15.0,13.0,-64.0,-49.0,23.0,4063.0
District of Columbia,2020-02-17,0,705749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District of Columbia,-10.0,-12.0,21.0,-39.0,-52.0,11.0,5632.0
Guam,2020-03-28,55,164229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8183.0
Nebraska,2020-05-08,7818,1934408,90,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Nebraska,-18.0,10.0,74.0,-2.0,-36.0,14.0,5165.0
Iowa,2020-01-27,0,3155070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6121.0
Guam,2020-03-06,0,164229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5970.0
Iowa,2020-02-06,0,3155070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6141.0
Illinois,2020-02-19,2,12671821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois,1.0,-1.0,3.0,2.0,1.0,0.0,6150.0
Nebraska,2020-03-15,17,1934408,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Nebraska,-12.0,10.0,-20.0,-5.0,-2.0,4.0,5125.0
South Carolina,2020-05-05,6841,5148714,296,48,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,South Carolina,-14.0,5.0,2.0,-18.0,-36.0,13.0,7036.0
Connecticut,2020-03-18,96,3565287,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Connecticut,-27.0,6.0,46.0,-30.0,-34.0,14.0,5183.0
Iowa,2020-02-08,0,3155070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8273.0
Puerto Rico,2020-02-12,0,2933408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5851.0
Louisiana,2020-03-16,115,4648794,3,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Louisiana,-3.0,24.0,8.0,-7.0,-11.0,5.0,7183.0
New Mexico,2020-02-29,0,2096829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Mexico,12.0,13.0,26.0,7.0,3.0,-3.0,7316.0
Texas,2020-03-25,1229,28995881,15,256,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,Texas,-39.0,-13.0,-6.0,-37.0,-44.0,20.0,6529.0
Idaho,2020-05-06,2158,1787065,66,46,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Idaho,-17.0,2.0,43.0,-13.0,-36.0,13.0,5726.0
Pennsylvania,2020-03-11,16,12801989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pennsylvania,7.0,10.0,29.0,0.0,-1.0,0.0,5744.0
Mississippi,2020-01-22,0,2976149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9465.0
Connecticut,2020-03-09,0,3565287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Connecticut,9.0,8.0,95.0,2.0,2.0,-1.0,5479.0
Colorado,2020-03-13,76,5758736,1,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Colorado,-6.0,27.0,-22.0,-17.0,-8.0,5.0,6777.0
Massachusetts,2020-03-31,6620,6892503,89,17,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Massachusetts,-46.0,-20.0,11.0,-69.0,-58.0,25.0,4334.0
Ohio,2020-04-18,10222,11689100,451,90,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Ohio,-38.0,-10.0,79.0,-26.0,-32.0,12.0,4761.0
Guam,2020-03-03,0,164229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5740.0
New Jersey,2020-02-28,0,8882190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Jersey,2.0,1.0,2.0,2.0,3.0,0.0,5809.0
Colorado,2020-03-01,0,5758736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorado,8.0,9.0,-14.0,2.0,3.0,0.0,6609.0
Guam,2020-04-27,141,164229,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7275.0
Minnesota,2020-02-28,0,5639632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Minnesota,5.0,3.0,0.0,8.0,2.0,-1.0,9012.0
Connecticut,2020-03-14,23,3565287,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Connecticut,-7.0,16.0,95.0,-12.0,-3.0,3.0,5070.0
Nebraska,2020-01-31,0,1934408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6105.0
North Dakota,2020-02-15,0,762062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Dakota,7.0,-2.0,-1.0,5.0,1.0,-1.0,6723.0
Maryland,2020-01-29,0,6045680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8062.0
Iowa,2020-04-07,1046,3155070,25,101,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Iowa,-38.0,-1.0,154.0,-18.0,-42.0,15.0,4905.0
Connecticut,2020-04-04,5276,3565287,165,10,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Connecticut,-47.0,-15.0,88.0,-53.0,-38.0,15.0,3739.0
Massachusetts,2020-03-19,328,6892503,0,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Massachusetts,-39.0,-3.0,-36.0,-59.0,-44.0,21.0,5243.0
West Virginia,2020-04-14,640,1792147,9,57,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,West Virginia,-34.0,-13.0,-11.0,-29.0,-42.0,15.0,6925.0
American Samoa,2020-03-08,0,55641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1327.0
California,2020-05-03,54903,39512223,2216,60,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,California,-50.0,-12.0,-21.0,-45.0,-32.0,12.0,4266.0
North Carolina,2020-04-24,8290,10488084,294,102,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,North Carolina,-31.0,-8.0,33.0,-44.0,-43.0,17.0,7199.0
Utah,2020-04-23,3612,3205958,35,37,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Utah,-31.0,-10.0,22.0,-44.0,-47.0,19.0,6146.0
Mississippi,2020-03-09,0,2976149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mississippi,12.0,8.0,24.0,8.0,-9.0,1.0,11432.0
Minnesota,2020-01-24,0,5639632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8818.0
Wyoming,2020-02-28,0,578759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wyoming,10.0,12.0,20.0,17.0,3.0,-2.0,5064.0
Puerto Rico,2020-04-09,683,2933408,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2625.0
Utah,2020-05-10,6251,3205958,67,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,1986.0
New Hampshire,2020-03-06,2,1359711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Hampshire,1.0,-1.0,3.0,3.0,3.0,1.0,7974.0
Nebraska,2020-01-28,0,1934408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6029.0
Vermont,2020-03-16,12,623989,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Vermont,-5.0,18.0,15.0,-23.0,-13.0,6.0,9061.0
New York,2020-03-11,220,26161672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,New York,3.0,11.0,20.0,-8.0,-1.0,1.0,4336.0
North Carolina,2020-05-07,13540,10488084,513,102,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,North Carolina,-22.0,2.0,29.0,-37.0,-40.0,15.0,7477.0
Vermont,2020-05-06,908,623989,52,16,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Vermont,-34.0,-15.0,46.0,-42.0,-49.0,18.0,7316.0
Maryland,2020-02-05,0,6045680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7892.0
New York,2020-02-19,0,26161672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,3.0,-2.0,11.0,-3.0,-9.0,2.0,6714.0
Iowa,2020-03-12,14,3155070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Iowa,5.0,22.0,31.0,5.0,0.0,0.0,5809.0
Guam,2020-03-05,0,164229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6060.0
Ohio,2020-04-02,2901,11689100,81,90,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Ohio,-37.0,-7.0,87.0,-28.0,-49.0,20.0,5090.0
Maryland,2020-03-10,8,6045680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maryland,5.0,5.0,37.0,-2.0,2.0,0.0,7091.0
New Hampshire,2020-04-01,367,1359711,3,12,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,New Hampshire,-39.0,-12.0,9.0,-41.0,-48.0,21.0,5949.0
Connecticut,2020-02-02,0,3565287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5257.0
Colorado,2020-02-04,0,5758736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6763.0
Wyoming,2020-02-04,0,578759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4345.0
Vermont,2020-03-22,52,623989,2,16,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Vermont,-47.0,-21.0,18.0,-53.0,-31.0,9.0,6289.0
Missouri,2020-03-25,354,6626371,8,118,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,Missouri,-33.0,-6.0,47.0,-24.0,-41.0,14.0,6181.0
Oregon,2020-01-25,0,4217737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6431.0
Oklahoma,2020-02-26,0,3956971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oklahoma,15.0,7.0,5.0,10.0,4.0,-2.0,7494.0
Georgia,2020-04-01,4638,10617423,139,161,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Georgia,-30.0,1.0,-5.0,-44.0,-47.0,18.0,6968.0
California,2020-03-19,1005,39512223,18,60,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,California,-32.0,3.0,-20.0,-43.0,-40.0,18.0,5842.0
Florida,2020-04-17,24759,21477737,725,69,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Florida,-44.0,-21.0,-47.0,-58.0,-47.0,21.0,5743.0
Pennsylvania,2020-05-01,49579,12801989,2635,69,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Pennsylvania,-37.0,-11.0,15.0,-47.0,-48.0,21.0,4990.0
Oklahoma,2020-03-18,17,3956971,0,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Oklahoma,-12.0,18.0,48.0,2.0,-25.0,8.0,7963.0
Arizona,2020-02-08,1,7278717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8063.0
Guam,2020-03-26,45,164229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8712.0
Arkansas,2020-04-20,1973,3017804,41,77,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Arkansas,-16.0,-2.0,35.0,-20.0,-34.0,12.0,6499.0
Montana,2020-04-03,243,1068778,5,58,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Montana,-44.0,-9.0,-9.0,-38.0,-42.0,19.0,4554.0
Puerto Rico,2020-04-20,1252,2933408,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3293.0
Kentucky,2020-03-18,28,4467673,1,122,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Kentucky,-24.0,13.0,-5.0,-11.0,-23.0,10.0,7279.0
South Carolina,2020-03-16,30,5148714,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,South Carolina,-1.0,24.0,13.0,-1.0,-10.0,4.0,7972.0
Arizona,2020-01-31,1,7278717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8075.0
California,2020-04-01,9399,39512223,199,60,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,California,-39.0,-14.0,-25.0,-51.0,-52.0,22.0,4958.0
Northern Mariana Islands,2020-02-19,0,55144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2065.0
Idaho,2020-03-22,42,1787065,0,46,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Idaho,-22.0,1.0,140.0,-11.0,-27.0,5.0,5012.0
California,2020-01-22,0,39512223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6529.0
Rhode Island,2020-02-27,0,1059361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rhode Island,7.0,-3.0,5.0,3.0,2.0,0.0,5885.0
Arkansas,2020-02-23,0,3017804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas,0.0,-1.0,-32.0,1.0,1.0,1.0,7050.0
Nebraska,2020-04-14,897,1934408,20,95,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Nebraska,-36.0,-14.0,10.0,-21.0,-40.0,18.0,4791.0
Georgia,2020-04-15,14987,10617423,552,161,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Georgia,-27.0,-8.0,-2.0,-46.0,-48.0,18.0,6834.0
Rhode Island,2020-03-13,12,1059361,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Rhode Island,-1.0,34.0,-10.0,-21.0,-3.0,4.0,4931.0
Iowa,2020-04-29,6843,3155070,148,101,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Iowa,-29.0,5.0,40.0,-14.0,-40.0,16.0,5635.0
Connecticut,2020-04-08,7781,3565287,326,10,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Connecticut,-46.0,-17.0,-3.0,-54.0,-54.0,23.0,4098.0
Connecticut,2020-02-08,0,3565287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6375.0
Louisiana,2020-02-27,0,4648794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louisiana,14.0,8.0,17.0,13.0,-3.0,0.0,8463.0
District of Columbia,2020-02-22,0,705749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District of Columbia,0.0,4.0,25.0,5.0,2.0,-1.0,5640.0
Missouri,2020-04-29,7660,6626371,338,118,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Missouri,-21.0,-2.0,-9.0,-22.0,-43.0,14.0,6508.0
Arkansas,2020-02-15,0,3017804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas,3.0,2.0,8.0,-3.0,1.0,0.0,9236.0
Connecticut,2020-04-19,17962,3565287,1127,10,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Connecticut,-41.0,-23.0,73.0,-55.0,-34.0,11.0,3672.0
Kentucky,2020-05-03,5130,4467673,253,122,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Kentucky,-27.0,-1.0,44.0,-28.0,-30.0,7.0,5232.0
Texas,2020-02-23,0,28995881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,4.0,1.0,-11.0,3.0,1.0,0.0,7096.0
Delaware,2020-03-02,0,973764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Delaware,10.0,4.0,33.0,4.0,4.0,-1.0,7882.0
Arkansas,2020-05-01,3337,3017804,64,77,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Arkansas,-8.0,13.0,95.0,-13.0,-33.0,10.0,7124.0
Kentucky,2020-04-22,3378,4467673,185,122,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Kentucky,-26.0,-2.0,74.0,-26.0,-45.0,15.0,6139.0
District of Columbia,2020-05-04,5170,705749,258,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,District of Columbia,-57.0,-25.0,-47.0,-74.0,-66.0,25.0,3337.0
Alaska,2020-02-29,0,731545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,13.0,9.0,9.0,12.0,5.0,-2.0,6443.0
Oklahoma,2020-03-15,4,3956971,0,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Oklahoma,-5.0,9.0,-21.0,4.0,-4.0,2.0,7449.0
Maine,2020-03-20,56,1344212,0,18,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Maine,-38.0,-4.0,-1.0,-36.0,-34.0,17.0,8802.0
Alabama,2020-04-04,1614,4903185,44,69,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Alabama,-41.0,8.0,4.0,-33.0,-26.0,11.0,6316.0
Maryland,2020-03-04,0,6045680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maryland,7.0,5.0,48.0,3.0,3.0,-1.0,6886.0
New York,2020-03-07,76,26161672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,10.0,8.0,17.0,0.0,6.0,-1.0,4734.0
Puerto Rico,2020-03-06,0,2933408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5796.0
Arizona,2020-03-21,104,7278717,1,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Arizona,-36.0,-1.0,-14.0,-26.0,-22.0,10.0,6644.0
Arizona,2020-03-10,6,7278717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona,6.0,3.0,4.0,2.0,-8.0,2.0,8693.0
Utah,2020-03-18,47,3205958,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Utah,-26.0,20.0,14.0,-33.0,-42.0,17.0,5697.0
Arkansas,2020-03-08,0,3017804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas,16.0,13.0,78.0,12.0,3.0,-2.0,7252.0
Texas,2020-04-14,15006,28995881,342,256,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Texas,-36.0,-17.0,-26.0,-42.0,-47.0,21.0,5924.0
