state,date,cases,Population,deaths,EmergDec_x,EmergDec_y,SchoolClose,GathRestrict25,GathRestrictAny,OtherBusinessClose,RestaurantRestrict,GathRestrict10,CaseIsolation,StayAtHome,PublicMask,Quarantine,NEBusinessClose,TravelRestrictIntra,GathRestrict50,BusinessHealthSafety,GathRestrict250,GathRecomAny,GathRestrict1000,TravelRestrictExit,TravelRestrictEntry,GathRestrict100,GathRestrict5,GathRestrict500,sub_region_1,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,mobility_score
South Carolina,2020-02-06,0,5148714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7772.0
Tennessee,2020-01-23,0,6829174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8771.0
Virginia,2020-03-27,607,8535519,10,135,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,Virginia,-37.0,-13.0,41.0,-49.0,-44.0,20.0,5904.0
Montana,2020-05-04,457,1068778,16,58,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Montana,-8.0,11.0,60.0,-18.0,-27.0,8.0,4540.0
North Carolina,2020-03-09,2,10488084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Carolina,8.0,7.0,65.0,4.0,0.0,-1.0,8371.0
Wyoming,2020-01-27,0,578759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4321.0
New Hampshire,2020-03-24,101,1359711,1,12,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,New Hampshire,-42.0,-16.0,-7.0,-36.0,-45.0,21.0,6390.0
Florida,2020-02-28,0,21477737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida,5.0,4.0,4.0,5.0,1.0,-1.0,7617.0
Mississippi,2020-04-28,6342,2976149,239,84,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Mississippi,-14.0,1.0,9.0,-16.0,-35.0,7.0,8287.0
Maryland,2020-04-02,2331,6045680,36,26,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Maryland,-42.0,-21.0,0.0,-56.0,-56.0,25.0,5400.0
Utah,2020-03-26,396,3205958,1,37,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,Utah,-36.0,-5.0,-2.0,-43.0,-44.0,19.0,6092.0
New York,2020-04-22,258222,26161672,20203,64,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,New York,-60.0,-19.0,-28.0,-68.0,-59.0,26.0,3814.0
Oregon,2020-04-24,2177,4217737,86,38,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Oregon,-40.0,-13.0,-3.0,-44.0,-46.0,18.0,5125.0
New Mexico,2020-02-21,0,2096829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Mexico,3.0,6.0,0.0,3.0,5.0,-1.0,7089.0
West Virginia,2020-04-24,1010,1792147,32,57,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,West Virginia,-36.0,-16.0,-13.0,-29.0,-41.0,17.0,6974.0
Alabama,2020-02-24,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alabama,-2.0,-3.0,-13.0,2.0,-2.0,2.0,8816.0
Northern Mariana Islands,2020-03-12,0,55144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3584.0
New York,2020-04-20,248416,26161672,19176,64,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,New York,-59.0,-23.0,-19.0,-68.0,-59.0,25.0,3500.0
Colorado,2020-04-09,5655,5758736,193,66,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Colorado,-42.0,-16.0,12.0,-56.0,-55.0,22.0,5208.0
Wyoming,2020-04-27,520,578759,7,25,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Wyoming,-19.0,-2.0,39.0,-12.0,-32.0,11.0,4128.0
Arizona,2020-02-17,1,7278717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona,9.0,1.0,35.0,1.0,-25.0,5.0,8717.0
Nevada,2020-03-02,0,3080156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nevada,6.0,7.0,1.0,-1.0,3.0,0.0,6752.0
Delaware,2020-04-24,3442,973764,100,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Delaware,-42.0,-24.0,-46.0,-56.0,-49.0,24.0,6029.0
North Dakota,2020-02-23,0,762062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Dakota,11.0,7.0,17.0,11.0,3.0,-2.0,5751.0
District of Columbia,2020-02-16,0,705749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District of Columbia,6.0,-1.0,37.0,3.0,0.0,-1.0,6110.0
Nevada,2020-01-28,0,3080156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7172.0
Illinois,2020-04-24,39658,12671821,1795,104,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Illinois,-42.0,-13.0,-12.0,-50.0,-50.0,22.0,5220.0
Arizona,2020-05-07,9945,7278717,450,17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Arizona,-29.0,-6.0,-15.0,-35.0,-44.0,16.0,7235.0
Connecticut,2020-02-25,0,3565287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Connecticut,1.0,-1.0,4.0,1.0,2.0,0.0,6721.0
Georgia,2020-04-26,23486,10617423,916,161,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Georgia,-34.0,-11.0,4.0,-53.0,-36.0,10.0,6197.0
Vermont,2020-02-13,0,623989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8153.0
Florida,2020-01-29,0,21477737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7465.0
Virginia,2020-03-14,37,8535519,1,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Virginia,-7.0,14.0,37.0,-6.0,-3.0,3.0,6372.0
Rhode Island,2020-05-06,10205,1059361,370,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Rhode Island,-30.0,-11.0,24.0,-57.0,-48.0,19.0,4409.0
Arkansas,2020-02-04,0,3017804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7429.0
Idaho,2020-04-26,1897,1787065,56,46,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Idaho,-18.0,3.0,164.0,-19.0,-33.0,5.0,5012.0
Pennsylvania,2020-04-12,22938,12801989,557,69,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Pennsylvania,-70.0,-47.0,31.0,-55.0,-46.0,12.0,3470.0
California,2020-04-26,43558,39512223,1725,60,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,California,-56.0,-17.0,-31.0,-50.0,-36.0,13.0,4291.0
Iowa,2020-03-31,497,3155070,7,101,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Iowa,-37.0,-3.0,100.0,-17.0,-40.0,16.0,5239.0
Iowa,2020-04-24,4445,3155070,107,101,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Iowa,-32.0,1.0,61.0,-19.0,-39.0,16.0,5659.0
Alabama,2020-02-14,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9289.0
Virginia,2020-03-09,2,8535519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia,7.0,8.0,64.0,-1.0,3.0,0.0,6742.0
Massachusetts,2020-03-18,252,6892503,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Massachusetts,-31.0,1.0,53.0,-50.0,-42.0,17.0,5061.0
Pennsylvania,2020-01-31,0,12801989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6522.0
Washington,2020-01-24,1,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7542.0
Maryland,2020-03-31,1660,6045680,18,26,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Maryland,-48.0,-29.0,-26.0,-60.0,-55.0,25.0,5957.0
Pennsylvania,2020-03-30,4155,12801989,50,69,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Pennsylvania,-45.0,-23.0,-15.0,-55.0,-51.0,21.0,4980.0
South Carolina,2020-03-19,80,5148714,1,48,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,South Carolina,-22.0,10.0,32.0,-9.0,-23.0,10.0,7870.0
Idaho,2020-04-04,1022,1787065,10,46,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Idaho,-46.0,-13.0,24.0,-30.0,-34.0,12.0,4419.0
Kentucky,2020-04-14,2048,4467673,106,122,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Kentucky,-34.0,-9.0,4.0,-31.0,-45.0,17.0,6034.0
North Dakota,2020-04-26,867,762062,17,55,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,North Dakota,-33.0,-8.0,84.0,-33.0,-26.0,7.0,4302.0
