,state,date,cases,GrowthRate
795,New Jersey,2020-09-20,199762,0.0022728527060995596
796,New Jersey,2020-09-21,200154,0.001962335178862906
797,New Jersey,2020-09-22,200580,0.002128361161905401
798,New Jersey,2020-09-23,200988,0.0020341011067903647
799,New Jersey,2020-09-24,201216,0.0011343960833483102
800,New Jersey,2020-09-25,202100,0.004393288804071194
801,New Jersey,2020-09-26,202850,0.00371103414151408
802,New Jersey,2020-09-27,203548,0.003440966231205378
803,New Jersey,2020-09-28,204107,0.002746280975494786
804,New Jersey,2020-09-29,204563,0.0022341222985982068
805,New Jersey,2020-09-30,205275,0.0034805903315848763
806,New Jersey,2020-10-01,205889,0.0029911094872732136
807,New Jersey,2020-10-02,206629,0.0035941696739505424
808,New Jersey,2020-10-03,207576,0.0045830933702433185
809,New Jersey,2020-10-04,208202,0.0030157629012987908
810,New Jersey,2020-10-05,208713,0.0024543472204878736
811,New Jersey,2020-10-06,209342,0.003013707818870781
812,New Jersey,2020-10-07,209850,0.0024266511259087853
813,New Jersey,2020-10-08,211148,0.006185370502740151
