,state,date,GrowthRate
171,Connecticut,2020-09-09,0.0016548287531144013
172,Connecticut,2020-09-10,0.0041209556161942995
173,Connecticut,2020-09-11,0.0043073965208066944
174,Connecticut,2020-09-12,0.0
175,Connecticut,2020-09-13,0.0
176,Connecticut,2020-09-14,0.010473806280602238
177,Connecticut,2020-09-15,0.0024774569632934895
178,Connecticut,2020-09-16,0.0024531627628063823
179,Connecticut,2020-09-17,0.003987963600768696
180,Connecticut,2020-09-18,0.0025457696890911485
181,Connecticut,2020-09-19,0.0
182,Connecticut,2020-09-20,0.0
183,Connecticut,2020-09-21,0.008950600608712778
184,Connecticut,2020-09-22,0.002427531058117882
185,Connecticut,2020-09-23,0.002759971509971537
186,Connecticut,2020-09-24,0.0027878895498534284
187,Connecticut,2020-09-25,0.0020364074231478124
188,Connecticut,2020-09-26,0.0
189,Connecticut,2020-09-27,0.0
190,Connecticut,2020-09-28,0.009896265926802927
191,Connecticut,2020-09-29,0.003184769104239926
192,Connecticut,2020-09-30,0.003854942524725624
193,Connecticut,2020-10-01,0.003336229365768828
194,Connecticut,2020-10-02,0.009611721104222148
195,Connecticut,2020-10-03,0.0
196,Connecticut,2020-10-04,0.0
197,Connecticut,2020-10-05,0.014117364529907306
198,Connecticut,2020-10-06,0.0020466847090663265
199,Connecticut,2020-10-07,0.00207626474907574
200,Connecticut,2020-10-08,0.006468566808166543
382,Massachusetts,2020-09-09,0.0014719994795140412
383,Massachusetts,2020-09-10,0.0032726180132041094
384,Massachusetts,2020-09-11,0.003561426513201571
385,Massachusetts,2020-09-12,0.00446824641491772
386,Massachusetts,2020-09-13,0.002296450939457184
387,Massachusetts,2020-09-14,0.0020348324868215695
388,Massachusetts,2020-09-15,0.002502398464982347
389,Massachusetts,2020-09-16,0.0024403276099942417
390,Massachusetts,2020-09-17,0.0034129149794350777
391,Massachusetts,2020-09-18,0.0035995179500190044
392,Massachusetts,2020-09-19,0.004732110410642809
393,Massachusetts,2020-09-20,0.0028227486810137314
394,Massachusetts,2020-09-21,0.0020072134232398398
395,Massachusetts,2020-09-22,0.0013537199912361242
