,state,date,cases,deaths,population,emergdec,schoolclose,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate
6887,Pennsylvania,2020-04-24,40208,1747,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-47.0,-23.0,-23.0,-57.0,-51.0,24.0,,38461.0,319.4280801020251,186143.0,2746.0,4.3449064862713875,1478.7928052733596,6.829486669319539
6888,Pennsylvania,2020-04-25,41153,1793,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-43.0,-15.0,85.0,-41.0,-34.0,12.0,,39360.0,326.9355297562335,192935.0,2748.0,4.356912011274998,1532.751110089639,6.677520472383544
6889,Pennsylvania,2020-04-26,42616,1816,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-51.0,-26.0,-49.0,-56.0,-38.0,13.0,,40800.0,338.55817403571183,198593.0,2736.0,4.261310305988361,1577.700475320868,6.420123897127839
6890,Pennsylvania,2020-04-27,43558,1886,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-38.0,-17.0,-1.0,-53.0,-49.0,20.0,,41672.0,346.0417905164148,203422.0,2800.0,4.329859038523348,1616.0639402734314,6.42821066164654
6891,Pennsylvania,2020-04-28,45137,2046,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-35.0,-13.0,43.0,-48.0,-50.0,14.0,,43091.0,358.58598417143617,209088.0,,4.532866606110288,1661.0768606340084,
6892,Pennsylvania,2020-04-29,46327,2373,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-35.0,-12.0,20.0,-49.0,-50.0,19.0,,43954.0,368.03980966192086,214883.0,,5.122282901979407,1707.1146074553185,
6893,Pennsylvania,2020-04-30,47971,2475,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-42.0,-19.0,-29.0,-52.0,-51.0,22.0,0.0,45496.0,381.10038874289313,221365.0,,5.15936711763357,1758.6101510093704,
6894,Pennsylvania,2020-05-01,49579,2635,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-37.0,-11.0,15.0,-47.0,-48.0,21.0,0.0,46944.0,393.87496974180016,227448.0,,5.314750196655842,1806.9358824872013,
6895,Pennsylvania,2020-05-02,50494,2695,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-37.0,-8.0,117.0,-35.0,-31.0,10.0,0.0,47799.0,401.14408766095437,235376.0,,5.3372677941933695,1869.919015670868,
6896,Pennsylvania,2020-05-03,51225,2720,12801989.0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-34.0,-10.0,110.0,-41.0,-30.0,8.0,0.0,48505.0,406.95143760510933,240641.0,,5.309907271839922,1911.7462351728861,
