,Unnamed: 0,state,date,cases,deaths,population,emergdec,schoolclose,barrestrict,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,cases_nom,deaths_nom,cases_pct2,cases_pct5,cases_pct10,deaths_pct2,deaths_pct5,residential_pct10
7590,7590,Rhode Island,2020-04-06,1082,27,1059361.0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-39.0,-17.0,79.0,-58.0,-50.0,19.0,,,,,,,,,0.0010213704299101062,2.5487062483893593e-05,0.3424317617866004,0.911660777385159,4.330049261083744,0.588235294117647,1.7000000000000002,-0.09523809523809523
7591,7591,Rhode Island,2020-04-07,1229,30,1059361.0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-40.0,-17.0,65.0,-60.0,-52.0,21.0,,,,,,,,,0.0011601333256557492,2.8318958315437326e-05,0.33297180043383956,0.9054263565891474,4.142259414225942,0.19999999999999996,1.5,0.5
7592,7592,Rhode Island,2020-04-08,1450,35,1059361.0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-46.0,-19.0,-15.0,-64.0,-53.0,23.0,,,,,,,,,0.001368749651912804,3.303878470134355e-05,0.3401109057301295,1.0393811533052038,3.9319727891156466,0.2962962962962963,1.5,0.6428571428571428
7593,7593,Rhode Island,2020-04-09,1727,43,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-49.0,-22.0,-30.0,-68.0,-54.0,24.0,,,,,,,,,0.0016302280336920087,4.05905069187935e-05,0.405207485760781,1.142679900744417,3.2328431372549016,0.43333333333333335,1.5294117647058822,0.19999999999999996
7594,7594,Rhode Island,2020-04-10,1727,43,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-44.0,-10.0,-10.0,-63.0,-54.0,25.0,,,,,,,,,0.0016302280336920087,4.05905069187935e-05,0.19103448275862078,0.8731019522776573,2.5389344262295084,0.22857142857142865,0.72,0.19047619047619047
7595,7595,Rhode Island,2020-04-11,2349,56,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-45.0,-4.0,45.0,-57.0,-40.0,15.0,,,,,,,,,0.0022173744360987424,5.286205552214967e-05,0.3601621308627678,1.1709796672828094,3.15017667844523,0.30232558139534893,1.074074074074074,-0.2857142857142857
7596,7596,Rhode Island,2020-04-12,2665,63,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-63.0,-45.0,11.0,-67.0,-43.0,13.0,35.0,2602.0,251.56674640000003,20350.0,201.0,2.363977486,1920.969339,7.542213884,0.0025156674636880156,5.946981246241838e-05,0.5431383902721483,1.1684296175752644,3.1317829457364343,0.4651162790697674,1.1,-0.40909090909090906
7597,7597,Rhode Island,2020-04-13,2665,63,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-56.0,-39.0,-51.0,-75.0,-54.0,24.0,135.0,2602.0,251.56674636880157,20661.0,331.0,2.363977485928705,1950.3266591841686,12.420262664165106,0.0025156674636880156,5.946981246241838e-05,0.13452532992762878,0.8379310344827586,2.748241912798875,0.125,0.8,-0.07692307692307687
7598,7598,Rhode Island,2020-04-14,3251,80,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-35.0,-13.0,63.0,-61.0,-51.0,20.0,135.0,3171.0,306.88311160000006,22900.0,331.0,2.460781298,2161.6804850000008,10.18148262,0.003068831116116225,7.551722217449953e-05,0.21988742964352714,0.882455124493341,3.0334987593052105,0.26984126984126977,0.8604651162790697,0.33333333333333326
7599,7599,Rhode Island,2020-04-15,3251,80,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-36.0,-15.0,11.0,-64.0,-51.0,21.0,168.0,3171.0,306.8831116116225,25897.0,331.0,2.460781298062135,2444.586878316268,10.181482620732082,0.003068831116116225,7.551722217449953e-05,0.21988742964352714,0.882455124493341,2.5260303687635575,0.26984126984126977,0.8604651162790697,0.6153846153846154
7600,7600,Rhode Island,2020-04-16,3529,87,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-37.0,-14.0,19.0,-64.0,-51.0,22.0,182.0,3442.0,333.12534631726106,28064.0,331.0,2.4652876168886366,2649.1441538814443,9.379427599886654,0.0033312534631726107,8.212497911476824e-05,0.08551215010765922,0.5023414218816518,2.2615526802218113,0.08749999999999991,0.5535714285714286,0.1578947368421053
7601,7601,Rhode Island,2020-04-17,4177,118,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-39.0,-15.0,13.0,-64.0,-49.0,23.0,196.0,4059.0,394.29429627860566,30761.0,331.0,2.8249940148431887,2903.7315891372245,7.924347617907588,0.003942942962786057,0.00011138790270738681,0.2848354352506921,0.5673545966228892,2.3986981285598046,0.4750000000000001,0.873015873015873,0.09523809523809534
7602,7602,Rhode Island,2020-04-18,4491,137,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-54.0,-26.0,-41.0,-68.0,-41.0,17.0,217.0,4354.0,423.9348059820968,32826.0,331.0,3.050545535515476,3098.660418875152,7.370296147851257,0.004239348059820967,0.00012932324297383046,0.2725984698214792,0.6851782363977486,2.097241379310345,0.5747126436781609,1.1746031746031744,-0.26086956521739135
7603,7603,Rhode Island,2020-04-19,4706,150,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-38.0,-22.0,53.0,-58.0,-35.0,11.0,244.0,4556.0,444.2300594414936,34699.0,331.0,3.1874203144921376,3275.4651152911993,7.033574160645982,0.004442300594414935,0.00014159479157718662,0.1266459181230548,0.44755459858505064,1.72495657209033,0.27118644067796605,0.875,-0.5416666666666667
7604,7604,Rhode Island,2020-04-20,5090,155,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-37.0,-21.0,18.0,-66.0,-50.0,20.0,267.0,4935.0,480.4783260852533,37080.0,331.0,3.0451866404715133,3500.223247788053,6.50294695481336,0.004804783260852533,0.00014631461796309284,0.13337786684480069,0.5656721008920331,1.9473074696004633,0.13138686131386867,0.9375,-0.19999999999999996
7605,7605,Rhode Island,2020-04-21,5500,171,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-43.0,-24.0,-23.0,-68.0,-51.0,23.0,315.0,5329.0,519.1809024496843,39333.0,576.0,3.109090909090909,3712.898624736988,10.472727272727274,0.005191809024496843,0.00016141806239799276,0.1687207819804506,0.558515160102012,1.3414218816517667,0.1399999999999999,0.9655172413793103,0.5333333333333334
7606,7606,Rhode Island,2020-04-22,5841,181,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-38.0,-16.0,-2.0,-65.0,-51.0,21.0,315.0,5660.0,551.3701184015647,41722.0,576.0,3.0987844547166583,3938.4119294555867,9.861325115562405,0.0055137011840156475,0.0001708577151698052,0.1475442043222004,0.39837203734737847,1.1917448405253284,0.16774193548387095,0.5338983050847457,0.6153846153846154
7607,7607,Rhode Island,2020-04-23,6256,189,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-37.0,-16.0,28.0,-64.0,-50.0,21.0,342.0,6067.0,590.5446774045863,44419.0,576.0,3.0210997442455243,4192.999364711369,9.207161125319693,0.005905446774045864,0.00017840943738725514,0.1374545454545455,0.3930082386996214,1.3474671669793623,0.10526315789473695,0.3795620437956204,-0.125
7608,7608,Rhode Island,2020-04-24,6699,202,1059361.0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-45.0,-22.0,-38.0,-69.0,-50.0,26.0,377.0,6497.0,632.3623391837153,47257.0,576.0,3.0153754291685324,4460.896710375406,8.598298253470666,0.006323623391837154,0.00019068098599061133,0.14689265536723162,0.4235019124521886,1.06059673946478,0.11602209944751385,0.3466666666666667,0.30000000000000004
