,unnamed: 0,state,county,fips,date,cases,population,deaths,emergdec,schoolclose,barrestrict,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict500,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,cases_nom,deaths_nom,cases_pct3,cases_pct5,sir,knn,mdp,agg,sir_low,sir_high,sir_sample,knn_low,knn_high,knn_sample,mdp_low,mdp_high,mdp_sample,agg_low,agg_high,agg_sample
2042,475239,Massachusetts,Suffolk,25025.0,2020-06-17,19434,803907,959,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-42.0,-15.0,47.0,-66.0,-54.0,19.0,,98418.0,1540.0936350698723,732046.0,10925.0,7.284905464856666,10620.902159926518,10.291942610055488,0.02417443808798779,0.0011929240571359626,0.00512024825446078,0.009610888877344292,17188.73586941083,19450.0,19489.0,19199.824513264244,13901.869254188832,15112.29659232093,14660.462371750977,19469.6329785633,19720.08292322624,19626.593746326784,19537.48132846466,19810.93919246428,19708.861507214984,18882.388157929818,19033.49465284845,18977.0888834117
2043,478463,Massachusetts,Suffolk,25025.0,2020-06-18,19477,803907,963,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-43.0,-11.0,56.0,-67.0,-54.0,18.0,,98653.0,1544.0254432968688,741260.0,10985.0,7.3001822931348785,10754.583639644408,10.32211384864032,0.024227926862186798,0.0011978997570614512,0.007396296679424762,0.009223275817399791,17188.799865944013,19498.0,19531.0,19233.806042643577,13901.921013168887,15112.352857924037,14660.516955099849,19517.681430129935,19768.74945177713,19675.029556086356,19579.58580872509,19853.63299132946,19751.335322357012,18915.807860672277,19067.181797087207,19010.676195784286
2044,481687,Massachusetts,Suffolk,25025.0,2020-06-19,19493,803907,971,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-45.0,-15.0,46.0,-65.0,-51.0,17.0,,98851.0,1547.3333852738253,750807.0,11036.0,7.312705110173463,10893.096455670748,10.347866854195967,0.02424782966188875,0.0012078511569124288,0.006505912118552226,0.008171709335402122,17188.853445898407,19540.0,19572.0,19264.64486154127,13901.964347450494,15112.399965295304,14660.562654033805,19559.723825250738,19811.332664259164,19717.410889625982,19620.68780136027,19895.31027117404,19792.79785618614,18946.136812291392,19097.75345643669,19041.157256008388
2045,484911,Massachusetts,Suffolk,25025.0,2020-06-20,19528,803907,973,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-45.0,-11.0,83.0,-56.0,-24.0,5.0,,99109.0,1551.4828212624645,764937.0,11076.0,7.31933118874841,11098.101807137407,10.357597067404804,0.024291367036236782,0.0012103390068751733,0.0048368838118761906,0.010034136753904964,17188.898294419585,19583.0,19614.0,19296.221340674256,13902.000619942108,15112.4393960108,14660.600905832085,19602.767229779183,19854.929762752672,19760.801302535598,19662.7922816207,19938.00407003922,19835.27167132817,18977.191228191805,19129.05638560244,19072.36741893034
2046,488135,Massachusetts,Suffolk,25025.0,2020-06-21,19551,803907,978,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-44.0,-19.0,59.0,-61.0,-23.0,5.0,,99204.0,1553.2963859428135,773320.0,11085.0,7.338806848432203,11219.726708860337,10.353910387536077,0.02431997731080834,0.0012165586317820346,0.003799353083123736,0.00950069706201262,17188.93579711907,19625.0,19656.0,19327.31582890536,13902.030951295668,15112.472368296947,14660.632892298036,19644.809624899986,19897.512975234702,19803.182636075224,19704.89676188113,19980.6978689044,19877.745486470198,19007.77162208792,19159.881499398187,19103.101182488346
2047,491359,Massachusetts,Suffolk,25025.0,2020-06-22,19567,803907,979,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-40.0,-18.0,39.0,-66.0,-55.0,18.0,,99337.0,1555.4581550417895,780063.0,11094.0,7.3435313869974825,11317.557641977088,10.347915306407984,0.024339880110510297,0.001217802556763407,0.003796234545734301,0.006843676031696999,17188.967150347966,19666.0,19698.0,19357.92865995783,13902.05630909348,15112.49993398286,14660.65963381271,19685.851010613154,19939.082301705257,19844.55489024486,19747.00124214156,20023.39166776958,19920.21930161223,19037.87832218544,19190.229128656112,19133.358876534156
2048,494583,Massachusetts,Suffolk,25025.0,2020-06-23,19601,803907,976,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-40.0,-17.0,48.0,-66.0,-54.0,18.0,,99550.0,1558.7806055361893,787642.0,11157.0,7.342771246940124,11427.517695676013,10.3844972496021,0.02438217355987695,0.0012140707818192901,0.003738222040147399,0.006366483544693713,17188.993360181394,19708.0,19740.0,19389.019998033546,13902.07750702684,15112.522977607441,14660.681988468668,19727.893405733957,19981.665514187287,19886.936223784487,19789.10572240199,20066.085466634762,19962.69311675426,19068.45561800861,19221.05111958656,19164.08952648147
2049,497807,Massachusetts,Suffolk,25025.0,2020-06-24,19628,803907,984,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-43.0,-16.0,27.0,-66.0,-54.0,19.0,,99674.0,1561.2760705363494,795072.0,11219.0,7.375640036799212,11535.31598027596,10.425514120303689,0.024415759534374,0.0012240221816702678,0.003938417472252097,0.006925563022623482,17189.01523511337,19749.0,19783.0,19419.890339204834,13902.095198987818,15112.542209996749,14660.700645839377,19768.934791447125,20023.234840657842,19928.30847795412,19832.212690287666,20109.795784520542,20006.178213209194,19098.81557073429,19251.654028129262,19194.60174329179
2050,501031,Massachusetts,Suffolk,25025.0,2020-06-25,19664,803907,990,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-41.0,-12.0,55.0,-64.0,-53.0,18.0,,99875.0,1564.5549954784203,805456.0,11252.0,7.383365635171603,11685.972425401918,10.434266531895359,0.0244605408337034,0.0012314857315585009,0.004957326110287763,0.00696435886931579,17189.033573058336,19791.0,19825.0,19450.979481410017,13902.110030311962,15112.558332675306,14660.71628647486,19810.977186567932,20065.818053139872,19970.689811493747,19874.317170548096,20152.489583385723,20048.652028351225,19129.390706991904,19282.473842212206,19225.330222842695
2051,504255,Massachusetts,Suffolk,25025.0,2020-06-26,19707,803907,997,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-43.0,-16.0,36.0,-64.0,-50.0,18.0,,100058.0,1567.9354800425913,814085.0,11291.0,7.413713333950218,11811.166422415776,10.44785786989914,0.0245140296079024,0.001240193206428107,0.005407887352686158,0.007979131502224845,17189.04889469948,19833.0,19867.0,19482.06778221447,13902.122422116314,15112.571803426561,14660.729354471552,19853.019581688735,20108.401265621902,20013.071145033373,19916.421650808526,20195.183382250903,20091.125843493257,19159.965015759914,19313.292822183557,19256.05787075389
